index,src_out_result,src_ref_result,out_ref_result,HTER
157,[0.43433093],[0.400344],[0.48083935],0.0
158,[0.21611462],[0.43855627],[0.1663283],0.0
159,[0.36894576],[0.21720143],[0.44759358],4.0
160,[0.4128474],[0.18337228],[0.19105299],42.85714285714285
161,[0.15453637],[0.07379197],[0.05701321],27.58620689655172
162,[0.02536034],[0.23048854],[0.26520989],0.0
163,[0.5603882],[0.15007781],[0.2076281],0.0
164,[0.3348474],[0.1270219],[0.26687715],13.953488372093023
165,[0.35245624],[0.23049125],[0.2638434],7.142857142857142
166,[0.24099225],[0.25289323],[0.55233553],0.0
167,[0.56353629],[0.5748194],[0.89762642],0.0
168,[0.27873518],[0.30693017],[0.27267457],13.333333333333334
169,[0.36129155],[0.32368471],[0.88330484],0.0
170,[0.46732026],[0.34640523],[0.64248366],0.0
171,[0.34127867],[0.36466974],[0.08999417],0.0
172,[0.25610422],[0.32949491],[0.31345481],0.0
173,[0.3743247],[0.42311334],[0.56691729],21.428571428571427
174,[0.25606838],[0.25219373],[0.91133903],0.0
175,[0.34009609],[0.21919358],[0.33977985],0.0
176,[0.39805068],[0.39805068],[1.],0.0
177,[0.24344649],[0.1358955],[0.19225932],7.6923076923076925
178,[0.23953482],[0.25717325],[0.29456328],9.523809523809524
179,[0.28657039],[0.31219738],[0.37661572],13.043478260869565
180,[0.24248366],[0.38344227],[0.74270153],8.333333333333332
181,[0.17559355],[0.19052776],[0.77690035],3.125
182,[0.5043956],[0.5043956],[1.],0.0
183,[0.77989418],[0.77989418],[1.],0.0
184,[0.35921856],[0.41929182],[0.5042735],0.0
185,[0.34131407],[0.37887857],[0.53670451],33.33333333333333
186,[0.13050229],[0.3810319],[0.31756738],14.285714285714285
187,[0.3743247],[0.20144806],[0.38223336],9.090909090909092
188,[0.41656392],[0.29947884],[0.36660413],3.0303030303030303
189,[0.41192141],[0.41192141],[1.],0.0
190,[0.09452761],[0.03138765],[0.18269415],12.5
191,[0.29265315],[0.33691295],[0.38308467],10.714285714285714
192,[0.34312065],[0.35805258],[0.31275488],0.0
193,[0.51904762],[0.44565826],[0.48795518],0.0
194,[0.3100095],[0.34328585],[0.38780627],0.0
195,[0.0770226],[0.06293485],[0.21999885],0.0
196,[0.2251472],[0.10837607],[0.47206078],16.666666666666664
197,[0.25459102],[0.29095466],[0.58632946],20.0
198,[0.18459156],[0.48578576],[0.35076685],11.538461538461538
199,[0.3993763],[0.39987948],[0.57019083],2.1739130434782608
200,[0.1671678],[0.20997715],[0.53343268],1.851851851851852
201,[0.31007912],[0.31737186],[0.80254558],33.33333333333333
202,[0.1214374],[0.21330406],[0.2880107],6.896551724137931
203,[0.30880713],[0.29538462],[0.450301],0.0
204,[0.06756959],[0.26715379],[0.35830567],0.0
205,[0.32722034],[0.30373856],[0.63807127],0.0
206,[0.38589611],[0.31021672],[0.45896113],0.0
207,[0.46586747],[0.46586747],[1.],0.0
208,[0.47424556],[0.24211055],[0.24725516],6.666666666666667
209,[0.56270396],[0.5981352],[0.85081585],0.0
210,[0.5504644],[0.53849329],[0.86941864],0.0
211,[0.41072261],[0.6969697],[0.55897436],0.0
212,[0.30353342],[0.27183604],[0.71297209],0.0
213,[0.06701033],[0.07000928],[0.69360454],7.142857142857142
214,[0.05071225],[0.51639126],[0.00866097],0.0
215,[0.32408964],[0.58235294],[0.37815126],30.76923076923077
216,[0.28705548],[0.28705548],[1.],0.0
217,[0.2635549],[0.14941349],[0.22056044],0.0
218,[0.60932401],[0.60932401],[1.],0.0
219,[0.22539144],[0.1464882],[0.2102914],0.0
220,[0.27068334],[0.15503909],[0.26577127],40.909090909090914
221,[0.13556069],[0.1340487],[0.35097731],0.0
222,[0.11317509],[0.05589955],[0.27812178],25.0
223,[0.17550325],[0.23819254],[0.37425044],0.0
224,[0.14006586],[0.33166461],[0.21684728],6.8181818181818175
225,[0.38898551],[0.38898551],[1.],0.0
226,[0.15488597],[0.06648304],[0.3024406],2.127659574468085
227,[0.37589428],[0.16573251],[0.48544087],6.666666666666667
228,[0.61438561],[0.61238761],[0.54245754],0.0
229,[0.2421964],[0.23754842],[0.36942356],0.0
230,[0.43227819],[0.24450865],[0.30512909],7.142857142857142
231,[0.12499443],[0.18283166],[0.5077369],15.789473684210526
232,[0.28586171],[0.33649811],[0.66673547],10.0
233,[0.40017837],[0.23995541],[0.4477146],0.0
234,[0.62455026],[0.22891331],[0.27876272],0.0
235,[0.35764482],[0.25253561],[0.31126306],0.0
236,[0.26811146],[0.54592363],[0.33168215],0.0
237,[0.444767],[0.32493563],[0.48208132],0.0
238,[0.33320785],[0.27944037],[0.49727085],0.0
239,[0.30647673],[0.16710351],[0.16919278],0.0
240,[0.29447293],[0.50355176],[0.32801519],11.11111111111111
241,[0.32939098],[0.27535006],[0.5929201],2.857142857142857
242,[0.7953602],[0.79291819],[0.95555556],28.57142857142857
243,[0.15904385],[0.19762846],[0.74333396],0.0
244,[0.25962416],[0.39733064],[0.42548384],0.0
